on_date,fii_purchase,fii_sales,fii_net,dii_purchase,dii_sales,dii_net,category
27-May-2024,"14,013.38","14,554.60",-541.22,"12,902.57","11,979.97",922.6,cash
24-May-2024,"11,564.19","12,509.02",-944.83,"13,475.70","11,155.38","2,320.32",cash
23-May-2024,"19,821.55","15,150.60","4,670.95","12,439.40","12,292.89",146.51,cash
22-May-2024,"16,061.42","16,747.46",-686.04,"13,486.33","12,524.42",961.91,cash
21-May-2024,"17,681.01","19,555.55","-1,874.54","16,104.49","12,555.52","3,548.97",cash
18-May-2024,50.71,143.66,-92.95,149.06,301.93,-152.87,cash
17-May-2024,"15,820.61","14,203.82","1,616.79","11,656.60","10,100.35","1,556.25",cash
16-May-2024,"16,603.64","17,380.13",-776.49,"14,907.72","12,779.91","2,127.81",cash
15-May-2024,"11,412.04","14,244.87","-2,832.83","12,915.36","9,126.98","3,788.38",cash
14-May-2024,"9,988.34","14,053.86","-4,065.52","11,455.11","7,927.25","3,527.86",cash
13-May-2024,"10,309.45","14,808.37","-4,498.92","12,655.75","9,093.00","3,562.75",cash
10-May-2024,"11,603.33","13,720.83","-2,117.50","10,677.79","7,967.98","2,709.81",cash
09-May-2024,"11,353.03","18,347.89","-6,994.86","16,351.32","10,708.79","5,642.53",cash
08-May-2024,"11,984.54","18,653.64","-6,669.10","15,333.26","9,404.45","5,928.81",cash
07-May-2024,"13,726.76","17,395.60","-3,668.84","13,202.80","10,898.30","2,304.50",cash
06-May-2024,"12,598.23","14,766.98","-2,168.75","13,791.15","13,009.76",781.39,cash
03-May-2024,"17,440.08","19,832.06","-2,391.98","13,865.92","13,175.40",690.52,cash
02-May-2024,"16,786.80","17,751.27",-964.47,"15,122.33","13,769.89","1,352.44",cash
30-Apr-2024,"20,925.96","19,854.03","1,071.93","14,438.64","13,009.53","1,429.11",cash
29-Apr-2024,"13,689.75","13,520.66",169.09,"11,746.82","11,054.77",692.05,cash
26-Apr-2024,"13,909.55","17,318.43","-3,408.88","14,475.58","10,118.75","4,356.83",cash
25-Apr-2024,"19,378.28","22,201.61","-2,823.33","19,088.02","12,920.46","6,167.56",cash
24-Apr-2024,"10,242.95","12,754.69","-2,511.74","12,601.22","8,791.32","3,809.90",cash
23-Apr-2024,"14,931.47","17,976.01","-3,044.54","12,337.81","9,418.87","2,918.94",cash
22-Apr-2024,"13,189.75","16,104.98","-2,915.23","11,855.59","8,312.66","3,542.93",cash
19-Apr-2024,"16,285.77","16,156.38",129.39,"9,396.68","9,449.18",-52.5,cash
18-Apr-2024,"18,231.30","22,491.63","-4,260.33","14,273.71","11,988.19","2,285.52",cash
16-Apr-2024,"10,208.87","14,676.96","-4,468.09","13,537.42","11,497.04","2,040.38",cash
15-Apr-2024,"10,443.55","13,711.55","-3,268.00","13,578.59","8,815.66","4,762.93",cash
12-Apr-2024,"15,405.32","23,432.32","-8,027.00","17,220.28","10,878.75","6,341.53",cash
10-Apr-2024,"13,344.95","10,566.78","2,778.17","12,342.51","12,179.15",163.36,cash
09-Apr-2024,"13,964.84","14,558.04",-593.2,"11,130.49","8,873.31","2,257.18",cash
08-Apr-2024,"11,504.78","12,189.46",-684.68,"12,727.46","9,256.92","3,470.54",cash
05-Apr-2024,"12,834.70","11,175.43","1,659.27","9,462.33","12,832.75","-3,370.42",cash
04-Apr-2024,"13,478.62","14,615.09","-1,136.47","12,218.87","13,111.98",-893.11,cash
03-Apr-2024,"13,812.77","16,026.33","-2,213.56","13,037.25","11,934.84","1,102.41",cash
02-Apr-2024,"13,279.04","14,901.73","-1,622.69","12,163.40","10,210.68","1,952.72",cash
01-Apr-2024,"8,817.98","9,340.28",-522.3,"10,193.47","8,985.05","1,208.42",cash
28-Mar-2024,"24,808.78","24,620.47",188.31,"12,428.24","9,736.72","2,691.52",cash
27-Mar-2024,"19,558.69","17,388.37","2,170.32","26,386.81","25,189.20","1,197.61",cash
